inputAddress,buildingNoFrom,buildingNoTo
新界元朗十八鄉路 33 號,33,
北角月園街1號,1,
馬頭角道 50 號,50,
成安街 33 號,33,
通州街 208號,208,
大埔道 188號,188,
福華街 571號,571,
賈炳達道 33號,33,
鯉魚門徑1號,1,
香港 登豐街 1 號 1.7.3/(76),1,
福澤街18－20號,18,20
紅磡崇安街2號,2,
營盤街 142 號 2.6.4/(51),142,
新界 馬鞍山馬錦街 沙田市地段第 599 號 7.5.7/(32),,
新界 馬鞍山 恆光街 15 號 7.5.7/(17),15,
桂香街 1 號,1,
大埔公路大圍段 7838號,7838,
啟德道55號,55,
大埔道61號,61,
九龍 上海街 62 號 2.1.1/(5),62,
德輔道西124-128號,124,128
屯門業旺路101號,101,
大埔鳳園路9號,9,
大埔鳳園路9號,9,
擴業街 8號,8,
新界大埔白石角 科進路 16 號,16,
屯門屯門鄉事會路88號,88,
西源里1號,1,
大棠路 99A號,99,
新界元朗青山公路潭尾段 18 號,18,
九龍及新界青山公路潭尾段 18 號地盤 IV（第 1A 及 1B 期）,18,
新界元朗青山公路潭尾段 18 號,18,
新界屯門良德街 3 號,3,
葵涌興芳路178號,178,
"九龍城道 6,8號 6,8 KOWLOON CITY ROAD",6,8
浙江街 44號 44 CHI KIANG STREET,44,
北帝街 123號,123,
南里 1 號 1.1.6/(6),1,
九龍啟德沐寧街 9 號,9,
青山道 197-203 號 2.6.4/(42),197,203
粉嶺和豐街28號,28,
西洋菜北街 289號,289,
香港 筲箕灣道 163 號 1.6.1/(4),163,
唐俊街23號,23,
浙江街16及18號 ,16,18
筲箕灣東大街 23 號,23,
沐寧街 1號 1 MUK NING STREET,1,
半山般含道19至27號嘉富大廈1至3號,19,27
半山堅道63至69號慧源閣地下C,63,69
北角英皇道293-299號璇宮大廈地下15-22號舖及地庫,293,299
北角英皇道326至328號地下,326,328
北角英皇道376號,376,
北角英皇道433-437號珠璣大廈,433,437
柴灣柴灣道345號地下,345,
柴灣盛泰街100號杏花村杏花新城地下G59號,100,
大埔安泰路1號大埔廣場地下53號及54號舖,1,
大埔廣福邨廣福商場平台近K1號舖,,
大埔露屏路10號香港教育學院C2019室,10,
大埔太和邨太和商場S229E商舖,,
大埔太和路12號太和廣場1樓101 I 號舖,12,
大埔墟寶鄉街62至66號地下,62,66
大角咀海庭道18號奧海城2期UG46至47號,18,
大角咀荔枝角道139號,139,
大圍道16至18號祥豐大樓地下,16,18
大嶼山東涌慶東街1號東堤灣畔地下23號舖,1,
大嶼山東涌逸東邨逸東商場地下1及2號舖,,
大嶼山東涌逸東邨逸東商場地下1及2號舖,,
德田邨德田廣場207號,,
粉嶺百和路88號花都廣場地下A11-A14及110-112號舖,88,
粉嶺聯和墟和隆街2號,2,
粉嶺名都商場2樓27B及27C室,,
觀塘觀塘道418號創紀之城五期大堂高層UC-36舖對出,418,
觀塘觀塘道418號創紀之城五期地下1號,418,
觀塘開源道54號豐利中心地下1號,54,
觀塘康寧道7號地下,7,
觀塘麗港城商場地下38號,,
觀塘巧明街114號,114,
觀塘物華街31至33號,31,33
觀塘曉麗苑曉麗商場出入口對出近209A號舖,,
觀塘秀茂坪寶達邨商場地下9號舖對出自動扶手電梯下,,
何文田窩打老道77B及77C芝齡大廈地下A號,,
橫頭磡樂富廣場L樓 L217-L223號,,
紅磡都會道6號國際都會5樓3號行人天橋大堂入口,6,
紅磡黃埔花園第9期地下1至3號,,
紅磡馬頭圍道23至27號地下,23,27
紅磡香港理工大學邵逸夫樓VA210室,,
胡陳金枝中學,,
"皇后大道中80號H Queen's",80,
黃大仙雙鳳街60至64號,60,64
黃大仙毓華街23號慈雲山中心5樓540號舖,23,
黃大仙毓華街23號慈雲山中心5樓540號舖,23,
尖沙咀加連威老道16號,16,
尖沙咀加連威老道98號東海商業中心地下G3-G5號,98,
尖沙咀彌敦道63號國際廣場地下高層UG01號舖對出,63,
尖沙咀彌敦道66-70號金冠大廈,66,70
將軍澳尚德邨尚德商場237號,,
將軍澳唐俊街9號君薈坊地下層G10號商鋪,9,
將軍澳MCP Discovery一樓127號舖,,
金鐘金鐘道95號統一中心1007 & 1008號舖,95,
金鐘夏愨道18號海富中心商場1樓10號舖,18,
九龍城衙前圍道31至33號,31,33
九龍城衙前圍道45至45A號E及F舖,45,45
九龍大角咀埃華街88-102號大全樓地下2B舖,88,102
九龍觀塘成業街10號地下A舖,10,
九龍觀塘康寧道45 號宜安中心地下７ -９號舖,45,
九龍紅磡馬頭圍道37號紅磡商業中心地下,37,
"九龍紅磡蕪湖街28號昌隆閣地下3 及4號舖,1樓2 號舖及2樓3 號舖",28,
九龍黃大仙慈雲山中心6樓641–642號舖,,
九龍黃大仙正德街103號黃大仙中心地下G3C號舖,103,
九龍尖沙咀麼地道 43 號地下前座,43,
九龍九龍城衙前圍道15號地下,15,
九龍茘枝角道833號昇悦商場一樓號舖旁邊位置,833,
九龍彌敦道486號益南華廈地下,486,
九龍彌敦道751號地下,751,
九龍塘達之路80號又一城MTR07號,80,
九龍塘浸會大學道9號香港浸會大學賽馬會師生活動中心地下G02室,9,
九龍土瓜灣道237A號益豐大厦B座地下109號及120號舖,237,
九龍土瓜灣道245B及247號美景樓第2期地下,245,247
九龍灣德福廣場一期二樓F5A-F6A號,,
九龍灣宏開道8號其士商業中心地下8號舖,8,
九龍灣展貿徑一號國際展貿中心地下陳列櫃01B,,
九龍旺角道16號日本信用大廈地下,16,
九龍旺角彌敦道664號惠豐中心7樓 703-706室,664,
九龍長沙灣道746號地下C2舖,746,
九龍長沙灣道889號華創中心地下1號鋪,889,
葵涌邨葵涌商場二樓平台自動櫃員機5號,,
葵涌葵涌邨商場1樓102號舖對出自動扶手電梯下,,
葵涌興芳路202號地下,202,
葵涌祖堯邨敬祖路C座地下,,
樂富橫頭磡樂富廣場1樓1101&1102號舖,,
荔枝角深盛路9號宇晴匯2樓櫃員機位置A,9,
馬鞍山恆安邨恆安商場3樓,,
馬鞍山頌安邨商場地下保安櫃位側,,
馬鞍山西沙路608號馬鞍山廣場三樓318-322號,608,
美孚新邨萬事達廣場1樓N95號C舖,,
美孚新邨萬事達廣場地下N57號,,
牛頭角順利邨利溢樓,,
牛頭角振華道70號樂華﹝北﹞商場二樓二號自動櫃員機,70,
跑馬地成和道5至7號地下,5,7
跑馬地毓秀街13號金毓大廈地下A號舖,13,
青衣青敬路33號青衣城108D-E號舖,33,
青衣長發邨長發廣場2樓206A號舖,,
荃灣大河道14-16號登發大廈,14,16
荃灣沙咀道288號地下,288,
荃灣沙咀道298號翡翠廣場地下,298,
沙田 好運中心地下9號舖,,
沙田大圍美田邨美田商場1樓104號舖對面,,
沙田廣場地下4號,,
沙田禾輋邨禾輋商場近56號舖,,
沙田中文大學范克廉樓地下,,
上環德輔道中181號地下,181,
上環德輔道中288號易通商業大廈地下B2號鋪連1/F B室,288,
上水彩園路8號彩園廣場3樓櫃員機4,8,
上水新豐路55-59號兆啓樓地下B號舖,55,59
上水新豐路71號,71,
筲箕灣道326-332號康泰大廈地下2號舖,326,332
筲箕灣筲箕灣道203至205號,203,205
筲箕灣筲箕灣道289至293號嘉福大廈地下,289,293
筲箕灣筲箕灣道57-87號太安樓地下G8號舖,57,87
深水埗大埔道144至148號,144,148
深水埗青山道285至287號,285,287
深水埗青山道305號地下1號,305,
深水埗窩仔街13號地下,13,
天水圍天澤邨天澤商場1樓112號舖,,
銅鑼灣謝斐道488號,488,
銅鑼灣軒尼詩道447號地下,447,
銅鑼灣軒尼詩道482號,482,
銅鑼灣軒尼詩道555號崇光百貨公司(面向東角道),555,
銅鑼灣怡和街2-6號英光大廈地下,2,6
土瓜灣譚公道34至34A號,34,34
屯門湖翠路168-236號海趣坊93-95號舖,168,236
屯門良景邨良景廣場 2 樓 L220 號舖,,
屯門龍門路45號富健花園82號,45,
屯門鄉事會路117號康麗花園地下,117,
灣仔告士打道108號大新金融中心地下,108,
灣仔告士打道56號東亞銀行港灣中心地下1號舖,56,
灣仔海港中心一樓SC#1號舖,,
灣仔皇后大道東228號地下B及C舖,228,
灣仔軒尼詩道253至261號依時商業大厦地下A-C號,253,261
灣仔軒尼詩道265至267號,265,267
灣仔軒尼詩道399號東區商業大廈地下,399,
灣仔莊士敦道164號,164,
旺角彌敦道591號,591,
旺角彌敦道697號,697,
旺角彌敦道720-722號家樂樓地下,720,722
旺角太子道西154-158號旺角城大廈地下近正門入口,154,158
西貢清水灣香港科技大學廣場入口地下,,
西環德輔道西347至349號,347,349
西環德輔道西81至85號,81,85
西環皇后大道西443-453號地下15-16號舖,443,453
香港北角英皇道338號華懋交易廣場2期地下2號舖,338,
香港德輔道西163-173號金坤大廈地下2-3號舖,163,173
香港德輔道西369-375號香港商業中心地下B1,369,375
香港德輔道中120號大眾銀行中心地下,120,
香港港島東太古城太裕路1號安盛台地下501號舖,1,
香港教育學院中央大樓平台C-P-12室,,
香港石塘咀皇后大道西484-496號新安大樓地下I及J號,484,496
香港士美菲路12號文光閣地下A2號舖及1樓A室,12,
香港太古城道18號太古城中心商場2期B1層APITA,18,
香港鰂魚涌英皇道 1010-1026 號海景樓地下 8 號舖,1010,1026
香港鰂魚涌英皇道1032-1044號福昌樓地下G2-G4號,1032,1044
香港中環德輔道中71號永安集團大廈地下A 舖,71,
香港仔大道184號港基大廈地下B舖,184,
香港仔香港仔大道162至164號地下,162,164
香港仔香港仔大道166至168號,166,168
香港仔中心商場第三期一號舖及地庫,,
新 界 大 埔 普 益 街 37 及 39 號 東 翼 地 舖,37,39
新界將軍澳新都城中心一期地下G105-106號舖,,
新界葵涌興芳路177號葵芳邨葵芳廣場1樓116號,177,
新界馬鞍山西沙路608號馬鞍山廣場三樓335號舖,608,
新界荃灣青山公路185-187號荃勝大廈地下,185,187
新界沙田大圍道55-56號積輝街14-18號金禧花園地下1及2號舖,55,56
新界沙田好運中心商場4-6B舖,,
新界沙田瀝源邨瀝源廣場212號鋪,,
"新界天水圍天瑞路71,73,75及77號天澤邨天澤商場2樓218號舖",71,77
新界天水圍置富嘉湖2期1樓103號,,
新界屯門鄉事會道52-62號萬祥樓地下4號及5號舖,52,62
新界屯門兆康站SIH 34舖,,
新界西貢宜春街16號地下,16,
新界元朗教育路3-7號富好大廈地下5號舖,3,7
新界元朗青山公路元朗段162-168號聯昇樓地下C號舖,162,168
新界元朗天水圍天靖街3號天盛苑天盛商場1樓L120號舖,3,
新蒲崗崇齡街65號地下,65,
新蒲崗大有街31號善美工業大廈地下B室,31,
新蒲崗衍慶街55至57號,55,57
油麻地彌敦道524號地下,524,
油麻地彌敦道561號,561,
油塘鯉魚門廣場地下下層LG1號舖,,
元朗青山道99至109號,99,109
鰂魚涌太古城耀星閣G1010-1011號,,
長沙灣長沙灣道833號長沙灣廣場1樓117-118號,833,
中環德輔道中10號地下,10,
中環德輔道中10號L/F堂,10,
中環德輔道中19號環球大廈,19,
中環德輔道中24號地下大堂,24,
中環娛樂行2樓2E及F號舖對出,,
鑽石山龍蟠街3號荷里活廣場1樓102A號舖,3,
佐敦彌敦道335號,335,
佐敦吳松街120號地下,120,
香港中環皇后大道中99號中環中心地下,99,
香港中環紅棉路29號,29,
香港羅便臣道2號,2,
香港堅道75號地下至2樓,75,
香港醫院道4號,4,
香港山頂僑福道11號德瑞國際學校山頂校舍高座,11,
香港西營盤高街2號西營盤社區綜合大樓3樓,2,
香港西環域多利道9-15號百年大樓第1期A座2樓,9,15
香港堅尼地城士美菲路12號K士美非路市政大廈4樓,12,
香港堅尼地城石山街12號2樓,12,
香港卑路乍街8號西寶城3樓(幼稚園),8,
香港西環山道28號曉山閣地下A-E室,28,
香港皇后大道西470號石塘咀市政大廈5樓,470,
香港德輔道西246號東慈商業中心3樓,246,
香港西營盤東邊街北18號,18,
香港上環德輔道中322-324號西區電話機樓1樓,322,324
香港上環必列者士街58號,58,
香港上環新街12-20號,12,20
香港西營盤第三街96號地下,96,
香港西營盤高街119號,119,
香港灣仔譚臣道169號,169,
香港灣仔愛群道5號,5,
香港灣仔皇后大道東280號,280,
香港銅鑼灣高士威道120號,120,
香港北角天后廟道16號地下B舖,16,
香港大坑勵德邨道34號勵德邨,34,
香港銅鑼灣大坑道摩頓台(香港中央圖書館側),,
香港銅鑼灣摩頓台,,
香港銅鑼灣大坑徑17號,17,
香港跑馬地黃泥涌道133號,133,
香港跑馬地毓秀街2號黃泥涌市政大廈6樓,2,
香港跑馬地成和道72號,72,
香港跑馬地桂成里20號誠和閣地下,20,
香港灣仔皇后大道東197-213號胡忠大廈2樓,197,213
香港灣仔軒尼詩道22號2樓,22,
香港太古城太裕路5號興安閣平台512-513號,5,
香港太古城太豐路1-3號金星閣地下G1020-1022號,1,3
香港鰂魚涌太古城太榮路2號南海閣平台,2,
香港鰂魚涌太古城太豐路5-7號,5,7
香港西灣河鯉景道52號4樓,52,
香港筲箕灣愛信道39號,39,
香港筲箕灣寶文街1號峻峰花園地下,1,
香港筲箕灣愛禮街1號,1,
香港筲箕灣筲箕灣東大街19號,19,
香港杏花邨盛康里6號,6,
香港柴灣翠灣街翠灣邨,,
香港柴灣小西灣富怡道2號,2,
香港柴灣小西灣道15號小西灣綜合大樓地下,15,
香港柴灣小西灣道31號,31,
香港柴灣華廈街9號,9,
香港柴灣萃文道4號,4,
香港鰂魚涌街38號鰂魚涌市政大廈7樓,38,
香港北角雲景道81號,81,
香港北角炮台山道30號,30,
香港銅鑼灣福蔭道7號,7,
香港北角渣華道99號渣華道市政大廈3樓,99,
香港北角城市花園道2號,2,
香港北角長康街19號,19,
香港北角丹拿道53號港運城2樓,53,
香港北角馬寶道82號,82,
香港北角百福道4號,4,
香港鰂魚涌英皇道888號,888,
香港鰂魚涌基利路1號鰂魚涌社區綜合大樓地下,1,
香港鰂魚涌康愉街2號,2,
香港鰂魚涌英皇道1100號,1100,
香港筲箕灣興東邨興祖樓地下,,
香港筲箕灣東熹苑景熹閣地下,,
香港西灣河筲箕灣道111號2樓,111,
香港筲箕灣耀興道25號,25,
香港筲箕灣南安街103號,103,
香港筲箕灣耀東邨耀華樓地下B翼、C翼及1樓B翼,,
香港柴灣興民邨社區中心第3層,,
香港柴灣興華(一)邨卓華樓地下,,
香港柴灣祥民道11號,11,
香港柴灣柴灣道233號新翠花園第6座政府大樓2樓,233,
香港柴灣柴灣道365號漁灣邨,365,
香港柴灣小西灣邨瑞樂樓地下1-10號,,
香港香港仔香港仔大道203號香港仔市政大廈6樓,203,
香港鴨脷洲邨,,
香港鴨脷洲洪聖街8號鴨脷洲市政大廈3樓,8,
香港鴨脷洲利東邨第2期,,
香港鴨脷洲利東邨,,
香港鴨脷洲鴨脷洲橋道325號,325,
香港鴨脷洲海怡半島東翼商場1樓,,
香港奇力灣華貴邨,,
香港薄扶林華富邨華富道53號,53,
香港華富邨華林徑5號,5,
香港薄扶林沙宣道6號,6,
香港域多利道555號碧瑤灣(上),555,
香港數碼港道100號數碼港零售服務中心1樓5-8號舖,100,
香港薄扶林道147號,147,
香港薄扶林置富道置富南區廣場,,
香港香港仔田灣街20號,20,
香港香港仔田灣新街5號,5,
香港香港仔石排灣邨第2期,,
香港香港仔海傍道1號,1,
香港黃竹坑深灣道1號,1,
香港香港仔南風道50號,50,
香港淺水灣南灣坊23號1樓,23,
香港赤柱市場道6號赤柱市政大廈地面下層,6,
香港石澳石澳村140號,,
九龍尖沙咀柯士甸道西1號1樓104室,1,
九龍尖沙咀柯士甸道22號九龍公園,22,
九龍油麻地眾坊街60號地下,60,
九龍油麻地海泓道10號,10,
九龍旺角上海街557號旺角綜合大樓2樓,557,
九龍油麻地海庭道6號,6,
九龍大角咀奧海城海輝道11號政府服務中心地下,11,
九龍大角咀櫻桃街18號,18,
九龍大角嘴道148號,148,
九龍大角咀道150號,150,
九龍大角咀詩歌舞街33號,33,
九龍荔枝角道23號,23,
九龍旺角洗衣街200號,200,
九龍旺角洗衣街31號,31,
九龍油麻地碧街51號,51,
九龍油麻地眾坊街80號,80,
九龍紅磡紅樂道8號,8,
九龍油麻地南京街1號B,1,
九龍深水埗保安道325-329號保安道市政大廈2樓,325,329
九龍深水埗福榮街231號,231,
九龍深水埗青山道101號,101,
九龍深水埗南昌街石硤尾邨42座,,
九龍深水埗大埔道70號太子中心2樓C,70,
九龍深水埗汝州街88號地下,88,
九龍深水埗基隆街333號北河街市政大廈6樓,333,
九龍深水埗昌新里1號,1,
九龍深水埗英華街1號,1,
九龍長沙灣麗閣邨,,
九龍荔枝角道700號,700,
九龍深水埗海麗街1號,1,
九龍美孚新邨第2期百老匯街38號,38,
九龍美孚新邨天橋底(荔灣街市側),,
九龍荔枝角荔灣道1號,1,
九龍深水埗荔枝角道863號地下,863,
九龍深水埗永康街70號,70,
九龍深水埗長沙灣道及興華街交界,,
九龍長沙灣發祥街55號,55,
九龍石硤尾白田街白田邨,,
九龍大坑東桃源街2號,2,
九龍大坑東棠蔭街17號,17,
九龍深水埗白田邨,,
九龍深水埗澤安邨,,
九龍深水埗澤安邨富澤樓側,,
九龍土瓜灣福祥街1號,1,
九龍土瓜灣下鄉道66號,66,
九龍土瓜灣上鄉道24號,24,
九龍土瓜灣天光道24號,24,
九龍何文田南常樂街3號冠熹苑地下,3,
九龍何文田何文田邨恬文樓地下,,
九龍窩打老道山文福道5號,5,
九龍何文田巴富街8號,8,
九龍太子道西256號A,256,
九龍何文田自由道2號龍總大廈2樓,2,
九龍九龍塘牛津道2號B,2,
九龍九龍塘添福道6號,6,
九龍九龍塘對衡道20號,20,
九龍九龍城衙前圍道100號九龍城市政大廈3樓,100,
九龍九龍城富寧街57號,57,
九龍啟德沐虹街12號晴朗商場2樓A206,12,
九龍啟德沐虹街9號,9,
九龍土瓜灣炮仗街39號,39,
九龍土瓜灣崇安街28號,28,
九龍紅磡海逸豪園23座地下,,
九龍紅磡庇利街42號九龍城政府合署高層地下,42,
九龍紅磡黃埔花園德安街30號,30,
九龍紅磡灣愛景街3號,3,
九龍紅磡黃埔花園第2期18座1樓,,
九龍紅磡大環道10號,10,
九龍紅磡馬頭圍道11號紅磡市政大廈3樓,11,
九龍紅磡機利士南路68號,68,
九龍何文田忠義街1號,1,
九龍何文田俊民苑,,
九龍黃大仙正德街104號,104,
九龍黃大仙彩虹邨黃菊路3號,3,
九龍觀塘牛頭角道240號,240,
九龍藍田啟田道71號,71,
新界荃灣啟志街1號,1,
新界荃灣國瑞路河背村48號B,,
新界屯門青山公路青海圍26號,26,
新界屯門建生邨,,
新界元朗青山公路244號,244,
新界元朗天水圍天耀邨,,
新界葵涌荔景山路205號,205,
新界青衣長安邨第2期,,
新界大嶼山東涌文東路39號東涌市政大樓地下,39,
新界大嶼山愉景灣海澄湖畔路99號,99,
香港中環八號碼頭地下,,
新界粉嶺聯和墟聯益街9號,9,
新界粉嶺粉嶺村651號,,
新界粉嶺新運路28號,28,
新界粉嶺祥華邨,,
新界粉嶺一鳴路12號,12,
新界粉嶺華明邨,,
新界粉嶺欣盛里2號,2,
新界粉嶺暉明路12號,12,
新界粉嶺嘉福邨,,
新界粉嶺一鳴路27號,27,
新界粉嶺維翰路1號,1,
新界上水清城路8號,8,
新界上水百和路21號,21,
新界上水金錢村,,
新界上水蕉徑老圍,,
新界上水古洞村河上鄉路,,
新界上水坑頭村25號,,
新界上水彩園邨,,
新界上水馬會道,,
新界上水智昌路6號,6,
新界上水旭埔苑,,
新界上水天平邨,,
新界上水鳳南路6號,6,
新界北區打鼓嶺週田村,,
新界沙頭角石涌凹沙頭角公路60號,60,
新界沙頭角沙頭角墟第4區,,
新界沙頭角烏蛟騰村祠心路103號,103,
新界打鼓嶺坪輋路136號打鼓嶺鄉村中心政府大樓地下,136,
新界上水天平邨天平商場3樓,,
新界粉嶺聯和墟和滿街9號地下,9,
新界粉嶺祠堂村65號A,,
新界粉嶺龍躍頭,,
新界粉嶺沙頭角公路地段DD83,,
新界粉嶺簡頭村75號,,
新界粉嶺和合石村23號D1,,
新界大埔鄉事會街2號,2,
新界大埔安祥路10號,10,
新界大埔大元邨,,
新界大埔富亨邨,,
新界大埔大元邨,,
新界大埔富亨邨第4期,,
新界大埔富善邨,,
新界大埔富善邨,,
新界大埔廣福邨,,
新界大埔東昌街,,
新界大埔廣福邨,,
新界大埔運頭塘邨,,
新界大埔大埔公路大埔滘段4641號,4641,
新界大埔運頭塘邨,,
新界大埔馬聰路8號,8,
新界大埔錦山路170號,170,
新界大埔林村谷大窩西支路南華莆村2號,,
新界大埔林村放馬莆,,
新界大埔圍頭村52號,,
新界大埔泰亨村中心圍9號,9,
新界大埔大埔太和路8號,8,
新界大埔太和邨,,
新界大埔太和邨,,
新界大埔大埔頭徑2號,2,
新界大埔九龍坑村62號,,
新界大埔康樂園市中心徑8號,8,
新界大埔富善邨,,
新界大埔大美督大美督路66號,66,
新界大埔汀角路船灣詹屋村38號,,
新界大埔露屏路10號,10,
新界大埔洞梓路䃟頭角2號B,,
新界西貢北西澳年明路1號,1,
新界西貢北潭涌大網仔路531號,531,
新界大埔塔門,,
新界西貢親民街8號,8,
新界西貢對面海康健路140號萬宜漁村,140,
新界西貢蠔涌,,
新界將軍澳集福路4號,4,
新界西貢竹角路8號,8,
新界將軍澳至善街7號,7,
新界將軍澳調景嶺澳景路88號維景灣畔第17座地庫3層,88,
新界將軍澳彩明苑彩明街7號,7,
新界將軍澳調景嶺翠嶺路38號,38,
新界將軍澳彩明苑彩明街9號,9,
新界將軍澳調景嶺翠嶺路2號,2,
新界將軍澳唐俊街8號,8,
新界將軍澳寶康路109號,109,
新界將軍澳培成路2號,2,
新界將軍澳翠林邨,,
新界將軍澳翠林邨,,
新界將軍澳寶林邨,,
新界將軍澳寶林邨,,
新界將軍澳貿泰路2號,2,
新界將軍澳學林里8號,8,
新界將軍澳景林邨,,
新界將軍澳厚德邨,,
新界將軍澳厚德邨第3期,,
新界將軍澳第2期第34區,,
新界將軍澳尚德邨尚美樓,,
新界將軍澳唐俊街1號,1,
新界將軍澳唐明街2號尚德邨,2,
新界將軍澳蓬萊路3號,3,
新界將軍澳日出康城首都,,
新界沙田瀝源邨瀝源街3-5號,3,5
新界沙田文禮路11-17號,11,17
新界沙田瀝源邨,,
新界沙田禾輋邨禾輋商場平台,,
新界沙田第一城得榮街2號,2,
新界沙田愉田苑,,
新界沙田源昌里1號,1,
新界沙田沙角邨,,
新界沙田博康邨,,
新界沙田乙明邨街2號,2,
新界沙田博康邨,,
新界沙田秦石邨,,
新界沙田新田圍邨,,
新界沙田大圍新翠邨第2期校舍,,
新界沙田顯徑邨嘉田苑,,
新界沙田顯徑邨顯徑商場,,
新界沙田大圍美滿里9號,9,
新界沙田大圍積泰里1號,1,
新界沙田顯和里5號,5,
新界沙田顯泰街2號,2,
新界沙田隆亨邨,,
新界沙田翠田街2號新翠邨,2,
新界沙田大圍美林邨,,
新界沙田大圍積福街38號,38,
新界沙田大圍美林邨,,
新界沙田大圍銅鑼灣山路1號,1,
新界沙田穗禾苑42A地段,,
新界沙田火炭樂景街5-7號,5,7
新界沙田香港中文大學李兆基樓1樓6號演講廳,,
新界沙田火炭駿景園駿景路1號地下,1,
新界沙田馬鞍山頌安邨,,
新界沙田馬鞍山西沙路632號頌安邨,632,
新界沙田馬鞍山鞍駿街30號,30,
新界沙田馬鞍山利安邨,,
新界沙田馬鞍山錦英路2號,2,
新界沙田馬鞍山沙安街23號馬鞍山利安社區服務大樓,23,
新界沙田馬鞍山錦英苑,,
新界沙田馬鞍山恒光街12號,12,
新界沙田馬鞍山耀安邨,,
新界沙田馬鞍山恒安邨,,
新界沙田馬鞍山寧泰路27號,27,
新界沙田馬鞍山恒信街3號富安花園,3,
新界沙田馬鞍山恒安邨第2校舍,,
新界沙田銀城街25號,25,
新界沙田安景街5號,5,
新界沙田石門安睦里6號,6,
新界沙田廣源邨第1期,,
新界沙田廣源邨,,